ack,ack_A,ack_B,bytes,bytes_A,bytes_A_B_ratio,bytes_B,ds_field_A,ds_field_B,duration,http_GET,http_POST,http_bytes_avg,http_bytes_entropy,http_bytes_firstQ,http_bytes_max,http_bytes_median,http_bytes_min,http_bytes_stdev,http_bytes_sum,http_bytes_thirdQ,http_bytes_var,http_cookie_count,http_cookie_values_avg,http_cookie_values_entropy,http_cookie_values_firstQ,http_cookie_values_max,http_cookie_values_median,http_cookie_values_min,http_cookie_values_stdev,http_cookie_values_sum,http_cookie_values_thirdQ,http_cookie_values_var,http_count_host,http_count_req_content_type,http_count_resp_code,http_count_resp_content_type,http_count_transactions,http_count_user_agents,http_dom_host_alexaRank,http_dom_resp_code,http_has_location,http_has_referrer,http_has_req_content_type,http_has_resp_content_type,http_has_user_agent,http_inter_arrivel_avg,http_inter_arrivel_entropy,http_inter_arrivel_firstQ,http_inter_arrivel_max,http_inter_arrivel_median,http_inter_arrivel_min,http_inter_arrivel_stdev,http_inter_arrivel_sum,http_inter_arrivel_thirdQ,http_inter_arrivel_var,http_req_bytes_avg,http_req_bytes_entropy,http_req_bytes_firstQ,http_req_bytes_max,http_req_bytes_median,http_req_bytes_min,http_req_bytes_stdev,http_req_bytes_sum,http_req_bytes_thirdQ,http_req_bytes_var,http_resp_bytes_avg,http_resp_bytes_entropy,http_resp_bytes_firstQ,http_resp_bytes_max,http_resp_bytes_median,http_resp_bytes_min,http_resp_bytes_stdev,http_resp_bytes_sum,http_resp_bytes_thirdQ,http_resp_bytes_var,http_time_avg,http_time_entropy,http_time_firstQ,http_time_max,http_time_median,http_time_min,http_time_stdev,http_time_sum,http_time_thirdQ,http_time_var,packet_inter_arrivel_A_avg,packet_inter_arrivel_A_entropy,packet_inter_arrivel_A_firstQ,packet_inter_arrivel_A_max,packet_inter_arrivel_A_median,packet_inter_arrivel_A_min,packet_inter_arrivel_A_stdev,packet_inter_arrivel_A_sum,packet_inter_arrivel_A_thirdQ,packet_inter_arrivel_A_var,packet_inter_arrivel_B_avg,packet_inter_arrivel_B_entropy,packet_inter_arrivel_B_firstQ,packet_inter_arrivel_B_max,packet_inter_arrivel_B_median,packet_inter_arrivel_B_min,packet_inter_arrivel_B_stdev,packet_inter_arrivel_B_sum,packet_inter_arrivel_B_thirdQ,packet_inter_arrivel_B_var,packet_inter_arrivel_avg,packet_inter_arrivel_entropy,packet_inter_arrivel_firstQ,packet_inter_arrivel_max,packet_inter_arrivel_median,packet_inter_arrivel_min,packet_inter_arrivel_stdev,packet_inter_arrivel_sum,packet_inter_arrivel_thirdQ,packet_inter_arrivel_var,packet_size_A_avg,packet_size_A_entropy,packet_size_A_firstQ,packet_size_A_max,packet_size_A_median,packet_size_A_min,packet_size_A_stdev,packet_size_A_sum,packet_size_A_thirdQ,packet_size_A_var,packet_size_B_avg,packet_size_B_entropy,packet_size_B_firstQ,packet_size_B_max,packet_size_B_median,packet_size_B_min,packet_size_B_stdev,packet_size_B_sum,packet_size_B_thirdQ,packet_size_B_var,packet_size_avg,packet_size_entropy,packet_size_firstQ,packet_size_max,packet_size_median,packet_size_min,packet_size_stdev,packet_size_sum,packet_size_thirdQ,packet_size_var,packets,packets_A,packets_A_B_ratio,packets_B,push,push_A,push_B,reset,reset_A,reset_B,ssl_count_certificates,ssl_count_client_cipher_algs,ssl_count_client_ciphersuites,ssl_count_client_compressions,ssl_count_client_elliptic_curves,ssl_count_client_key_exchange_algs,ssl_count_client_mac_algs,ssl_count_server_ciphersuite,ssl_count_server_compression,ssl_count_server_elliptic_curve,ssl_count_server_name,ssl_count_transactions,ssl_count_version,ssl_dom_server_ciphersuite,ssl_dom_server_name_alexaRank,ssl_dom_version,ssl_handshake_duration_avg,ssl_handshake_duration_entropy,ssl_handshake_duration_firstQ,ssl_handshake_duration_max,ssl_handshake_duration_median,ssl_handshake_duration_min,ssl_handshake_duration_stdev,ssl_handshake_duration_sum,ssl_handshake_duration_thirdQ,ssl_handshake_duration_var,ssl_ratio_client_elliptic_curves,ssl_ratio_server_name,ssl_req_bytes_avg,ssl_req_bytes_entropy,ssl_req_bytes_firstQ,ssl_req_bytes_max,ssl_req_bytes_median,ssl_req_bytes_min,ssl_req_bytes_stdev,ssl_req_bytes_sum,ssl_req_bytes_thirdQ,ssl_req_bytes_var,ssl_resp_bytes_avg,ssl_resp_bytes_entropy,ssl_resp_bytes_firstQ,ssl_resp_bytes_max,ssl_resp_bytes_median,ssl_resp_bytes_min,ssl_resp_bytes_stdev,ssl_resp_bytes_sum,ssl_resp_bytes_thirdQ,ssl_resp_bytes_var,tcp_analysis_duplicate_ack,tcp_analysis_keep_alive,tcp_analysis_lost_segment,tcp_analysis_out_of_order,tcp_analysis_retransmission,tcp_analysis_reused_ports,ttl_A_avg,ttl_A_entropy,ttl_A_firstQ,ttl_A_max,ttl_A_median,ttl_A_min,ttl_A_stdev,ttl_A_sum,ttl_A_thirdQ,ttl_A_var,ttl_B_avg,ttl_B_entropy,ttl_B_firstQ,ttl_B_max,ttl_B_median,ttl_B_min,ttl_B_stdev,ttl_B_sum,ttl_B_thirdQ,ttl_B_var,ttl_avg,ttl_entropy,ttl_firstQ,ttl_max,ttl_median,ttl_min,ttl_stdev,ttl_sum,ttl_thirdQ,ttl_var,is_ssl,is_http,is_g_http,is_cdn_http,is_img_http,is_ad_http,is_numeric_url_http,is_numeric_url_with_port_http,is_tv_http,is_cloud_http,B_is_system_port,B_is_user_port,B_is_dynamic_and_or_private_port,B_port_is_11095,B_port_is_1900,B_port_is_5222,B_port_is_5223,B_port_is_5228,B_port_is_54975,B_port_is_80,B_port_is_8080,B_port_is_8280,B_port_is_9543,B_port_is_else,subdomain_is_99sets,subdomain_is_ccc,subdomain_is_else,subdomain_is_feeds,subdomain_is_h10141.www1,subdomain_is_img,subdomain_is_unresolved,subdomain_is_whp.aus1.cold.extweb,subdomain_is_whp.hou9.cold.extweb,subdomain_is_www,subdomain_is_www.cloud,domain_is_dlink,domain_is_else,domain_is_epicurious,domain_is_google,domain_is_hp,domain_is_hpeprint,domain_is_livecdn,domain_is_mako,domain_is_proteussensor,domain_is_samsung,domain_is_unresolved,suffix_is_biz,suffix_is_cloudfront.net,suffix_is_co.il,suffix_is_com,suffix_is_com.sg,suffix_is_else,suffix_is_empty_char_value,suffix_is_googleapis.com,suffix_is_net,suffix_is_org,suffix_is_unresolved,device_category
9,5,5,1213,743,0.713924473397075,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378015518,0,366.09559087634,1547.30471801758,490.697625994682,218.634327092166,0,2840.98156189919,694.869980037212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81793649037245,4.75488750216347,0.356298208236694,10.5841729640961,0.501178026199341,0,4.62594025297826,7063.09489488602,0.538111925125122,21.3993232241246,0.223994970321655,2,0.067094904184341,0.342990350723268,0.166026639938354,0,0.115841683662145,0.55195826292038,0.244937595725061,0.013419295673687,3.12249995353051,4.88968018135462,0.00355190038681,10.5841729640961,0.354242920875549,0,4.37592395090477,7063.09489488602,0.534085768461227,19.1487104241021,41.1489361702128,0.850178203413234,0,195,0,0,65,316,50,4225,131.086683417085,0.680702112131314,0,477,0,0,86.8387576778009,477,129,7540.96983502382,64.625,1.06127812445913,0,477,0,0,103.577738967003,679,60.5,10728.3480095167,10,5,0.542603583773972,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,64,0,64,64,64,64,0,7140,64,0,44,0,44,44,44,44,0,512,44,0,56.9650905877154,0.935617255777892,44,64,64,44,9.55241120088813,7140,64,91.248559750853,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.80687352678961,668,0,0,0.689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378015518,0,366.09559087634,1547.30471801758,490.697625994682,218.634327092166,0,2840.98156189919,694.869980037212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043064057826996,3.5,9.5367431640625E-07,0.195948839187622,0.011465549468994,0,0.057043676291314,0.689024925231934,0.085982859134674,0.003253981004828,0.046643293820895,2,0,0.286142826080322,9.5367431640625E-07,0,0.085642364625436,0.55195826292038,0.088184833526611,0.007334614618636,0.022967497507731,3.86485309798052,9.5367431640625E-07,0.195948839187622,0.001270651817322,0,0.045001936463913,0.689024925231934,0.017653822898865,0.002025174285502,41.1489361702128,0.850178203413234,0,195,0,0,65,316,0,4225,159,0.91829583405449,0,477,0,0,275.396078403451,477,238.5,75843,64.625,1.06127812445913,0,477,0,0,167.211531984404,679,60.5,27959.6964285714,10,5,0.823480971707547,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,1088,64,0,129.8,0.371232326640876,107,235,108,42,51.5814196890979,512,229,2660.64285714286,135,1.16088712854526,64,235,64,42,79.310150674425,4185,235,6290.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,0.103124008094631,668,0,0,0.9852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378015518,0,366.09559087634,1547.30471801758,490.697625994682,218.634327092166,0,2840.98156189919,694.869980037212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02052441239357,4.75488750216347,0.001579523086548,0.121922969818115,0.001921057701111,9.5367431640625E-07,0.036243479814912,0.985171794891357,0.013638854026794,0.001313589829094,0.032042069094522,2,0.002094209194183,0.196619033813477,0.003602385520935,9.5367431640625E-07,0.052938628244178,0.55195826292038,0.041512906551361,0.002802498360375,0.012794438894693,4.88968018135462,0.001548051834106,0.103087902069092,0.00215482711792,9.5367431640625E-07,0.024993670002585,0.985171794891357,0.007520914077759,0.000624683540198,41.1489361702128,0.850178203413234,0,195,0,0,65,316,50,4225,121.48275862069,0.91829583405449,0,477,0,0,275.396078403451,477,31,75843,64.625,1.06127812445913,0,477,0,0,167.211531984404,679,60.5,27959.6964285714,10,5,0.59182465663966,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,3136,64,0,129.8,0.216396932451265,107,235,108,43,35.653504929994,512,229,1271.1724137931,125.115384615385,1.0324955498974,64,235,64,43,79.310150674425,7140,235,6290.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.80687352678961,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378015518,0,366.09559087634,1547.30471801758,490.697625994682,218.634327092166,0,2840.98156189919,694.869980037212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178557674090068,3.41829583405449,0.002477586269379,0.425631999969482,0.117488980293274,0,0.183261019008213,2.14269208908081,0.361197590827942,0.033584601087928,0.161996277895841,2,1.54972076416016E-06,0.342990350723268,0.003484964370728,0,0.115841683662145,0.55195826292038,0.244937595725061,0.013419295673687,0.089278837045034,4.25162916738782,0.000599026679993,0.3991539478302,0.003182530403137,0,0.149977679848693,2.14269208908081,0.096273481845856,0.022493304452797,41.1489361702128,0.850178203413234,0,195,0,0,65,316,31,4225,159,0.91829583405449,0,477,0,0,275.396078403451,477,238.5,75843,64.625,1.06127812445913,0,477,0,0,167.211531984404,679,60.5,27959.6964285714,10,5,0.833287039608911,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,832,64,0,42,0,42,42,42,42,0,504,42,0,53.44,0.998845535995202,42,64,64,42,11.2178429299041,1336,64,125.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.80687352678961,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378015518,0,366.09559087634,1547.30471801758,490.697625994682,218.634327092166,0,2840.98156189919,694.869980037212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170561750729879,3.58496250072116,0.003391683101654,0.406018972396851,0.061884522438049,0,0.188883406234853,2.04674100875854,0.373967349529266,0.03567694115088,0.208749383687973,2,1.43051147460938E-06,0.342990350723268,0.166026639938354,0,0.115841683662145,0.55195826292038,0.244937595725061,0.013419295673687,0.097463857559931,4.16589420839002,0.000792980194092,0.403407096862793,0.004257917404175,0,0.161858975303599,2.04674100875854,0.112199068069458,0.026198327886331,41.1489361702128,0.850178203413234,0,195,0,0,65,316,31,4225,159,0.91829583405449,0,477,0,0,275.396078403451,477,238.5,75843,64.625,1.06127812445913,0,477,0,0,167.211531984404,679,60.5,27959.6964285714,10,5,0.692254441966003,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,832,64,0,42,0,42,42,42,42,0,378,42,0,55,0.976020648236615,42,64,64,42,11.0711981542843,1210,64,122.571428571429,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,0.061268816548139,668,0,0,1.3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378015518,0,366.09559087634,1547.30471801758,490.697625994682,218.634327092166,0,2840.98156189919,694.869980037212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013115524088295,4.75488750216347,0.001578569412231,0.134036064147949,0.001651048660278,0,0.027307723955776,1.35089898109436,0.00417947769165,0.000745711787645,0.018181327411107,2,0.001365780830383,0.196637153625488,0.003054976463318,0,0.038674288155283,0.55195826292038,0.010677218437195,0.001495700564318,0.007763787247669,4.88968018135462,0.001447260379791,0.12191915512085,0.001621961593628,0,0.018103030461147,1.35089898109436,0.003100216388702,0.000327719711877,41.1489361702128,0.850178203413234,0,195,0,0,65,316,50,4225,49.6197183098592,0.91829583405449,0,477,0,0,219.419713022273,477,0,48145.0104627767,64.625,1.06127812445913,0,477,0,0,167.211531984404,679,60.5,27959.6964285714,10,5,0.682685743406313,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,6656,64,0,129.8,0.106792032375842,107,235,108,43,22.786207837322,512,229,519.211267605633,132.28,1.01752230113049,64,235,64,43,79.310150674425,7140,235,6290.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.80687352678961,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378015518,0,366.09559087634,1547.30471801758,490.697625994682,218.634327092166,0,2840.98156189919,694.869980037212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200895587603251,3.41829583405449,0.000981271266937,0.468700170516968,0.193058013916016,9.5367431640625E-07,0.204996124401745,2.41074705123901,0.381503462791443,0.042023411019736,0.223994970321655,2,1.84774398803711E-06,0.342990350723268,0.166026639938354,0,0.115841683662145,0.55195826292038,0.244937595725061,0.013419295673687,0.114797478630429,4.16589420839002,2.14576721191406E-06,0.405019998550415,0.006793975830078,0,0.168879880118049,2.41074705123901,0.35155200958252,0.028520413908687,41.1489361702128,0.850178203413234,0,195,0,0,65,316,31,4225,159,0.91829583405449,0,477,0,0,275.396078403451,477,238.5,75843,64.625,1.06127812445913,0,477,0,0,167.211531984404,679,60.5,27959.6964285714,10,5,0.692254441966003,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,832,64,0,42,0,42,42,42,42,0,378,42,0,55,0.976020648236615,42,64,64,42,11.0711981542843,1210,64,122.571428571429,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.80687352678961,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378015518,0,366.09559087634,1547.30471801758,490.697625994682,218.634327092166,0,2840.98156189919,694.869980037212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231155927364643,3.70043971814109,0.001737117767334,0.743208885192871,0.163923978805542,0,0.264917076364594,3.00502705574036,0.375725984573364,0.070181057349564,0.219903815876354,2,0.00053346157074,0.342990350723268,0.041452884674072,0,0.115841683662145,0.55195826292038,0.244937595725061,0.013419295673687,0.120201082229614,4.45366068968818,0.001065015792847,0.397198915481567,0.013422012329102,0,0.145989769619229,3.00502705574036,0.219669103622437,0.021313012833476,41.1489361702128,0.850178203413234,0,195,0,0,65,316,50,4225,159,0.91829583405449,0,477,0,0,275.396078403451,477,238.5,75843,64.625,1.06127812445913,0,477,0,0,167.211531984404,679,60.5,27959.6964285714,10,5,0.833287039608911,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,64,64,64,64,0,896,64,0,44,0,44,44,44,44,0,512,44,0,54.7692307692308,0.995727452084926,44,64,64,44,10.1678225488359,1424,64,103.384615384615,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,0.05372245803075,668,0,0,1.2877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378015518,0,366.09559087634,1547.30471801758,490.697625994682,218.634327092166,0,2840.98156189919,694.869980037212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012502360112459,4.75488750216347,0.001567959785461,0.155145883560181,0.001775979995728,0,0.029295448625063,1.28774309158325,0.004956483840942,0.000858223310144,0.020840105257536,2,0.002840042114258,0.203626155853271,0.005167007446289,0,0.044017243710575,0.55195826292038,0.012195825576782,0.001937517743876,0.007998404295548,4.88968018135462,0.001554012298584,0.102981805801392,0.001968145370483,0,0.019319027136576,1.28774309158325,0.004327058792114,0.000373224809504,41.1489361702128,0.850178203413234,0,195,0,0,65,316,50,4225,60.7413793103448,0.91829583405449,0,477,0,0,241.739642485343,477,0,58438.0547489415,64.625,1.06127812445913,0,477,0,0,167.211531984404,679,60.5,27959.6964285714,10,5,0.557686945317833,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,64,64,64,0,6656,64,0,129.8,0.125658050172567,107,234,108,42,25.2108351090668,512,229,635.586206896553,123.679012345679,0.986019993662008,64,234,64,42,79.310150674425,7140,234,6290.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
9,5,5,1213,743,1.80687352678961,668,0,0,1.5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,648.797378015518,0,366.09559087634,1547.30471801758,490.697625994682,218.634327092166,0,2840.98156189919,694.869980037212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262523541083703,3.70043971814109,0.001091003417969,1.00909686088562,0.191012144088745,1.19209289550781E-06,0.328118428371702,3.41280603408813,0.36046314239502,0.107661703037115,0.223994970321655,2,1.72853469848633E-06,0.342990350723268,0.011176943778992,9.5367431640625E-07,0.115841683662145,0.55195826292038,0.244937595725061,0.013419295673687,0.131261770541851,4.54659356429494,0.000859022140503,0.658906936645508,0.015227437019348,9.5367431640625E-07,0.183389075486247,3.41280603408813,0.308398842811584,0.0336315530077,41.1489361702128,0.850178203413234,0,195,0,0,65,316,50,4225,159,0.91829583405449,0,477,0,0,275.396078403451,477,238.5,75843,64.625,1.06127812445913,0,477,0,0,167.211531984404,679,60.5,27959.6964285714,10,5,0.833287039608911,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147483647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,64,64,64,64,0,896,64,0,42,0,42,42,42,42,0,512,42,0,53.4074074074074,0.999010270880481,42,64,64,42,11.2018516987809,1442,64,125.481481481481,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,security_camera
